WiFi, Message
date,attendance,This is an overlay of hotspots in NYC by activation date (sorted by year).  Hotspots with unreliable activation data have been minimized.  Districts are sorted by total percentage of student attendance.
date,enrollment,This is an overlay of hotspots in NYC by activation date (sorted by year).  Hotspots with unreliable activation data have been minimized.  Districts are sorted by the number of students attending schools in this district.
date,assistance,This is an overlay of hotspots in NYC by activation date (sorted by year).  Hotspots with unreliable activation data have been minimized.  Districts are sorted by the level of people living on public assistance.
date,noise,This is an overlay of hotspots in NYC by activation date (sorted by year).  Hotspots with unreliable activation data have been minimized.  Districts are sorted by the number of reported noise complaints.
date,graffiti,This is an overlay of hotspots in NYC by activation date (sorted by year).  Hotspots with unreliable activation data have been minimized.  Districts are sorted by the number of reported graffiti incidents.
provider,attendance,This is an overlay of the top three public WiFi providers in NYC.  Hotspots serviced by other providers have been minimized.  Districts are sorted by total percentage of student attendance.
provider,enrollment,This is an overlay of the top three public WiFi providers in NYC.  Hotspots serviced by other providers have been minimized.  Districts are sorted by the number of students attending schools in this district.
provider,assistance,This is an overlay of the top three public WiFi providers in NYC.  Hotspots serviced by other providers have been minimized.  Districts are sorted by the level of people living on public assistance.
provider,noise,This is an overlay of the top three public WiFi providers in NYC.  Hotspots serviced by other providers have been minimized.  Districts are sorted by the number of reported noise complaints.
provider,graffiti,This is an overlay of the top three public WiFi providers in NYC.  Hotspots serviced by other providers have been minimized.  Districts are sorted by the number of reported graffiti incidents.
free,attendance,This is an overlay of all the free and limited free hotspots in NYC.  Districts are sorted by total percentage of student attendance.
free,enrollment,This is an overlay of all the free and limited free hotspots in NYC.  Districts are sorted by the number of students attending schools in this district.
free,assistance,This is an overlay of all the free and limited free hotspots in NYC.  Districts are sorted by the level of people living on public assistance.
free,noise,This is an overlay of all the free and limited free hotspots in NYC.  Districts are sorted by the number of reported noise complaints.
free,graffiti,This is an overlay of all the free and limited free hotspots in NYC.  Districts are sorted by the number of reported graffiti incidents.
