DBN,R,M,W,SAT
01M292,355,404,363,1122
01M448,383,423,366,1172
01M450,377,402,370,1149
01M458,414,401,359,1174
01M509,390,433,384,1207
01M515,332,557,316,1205
01M539,522,574,525,1621
01M650,417,418,411,1246
01M696,624,604,628,1856
02M047,395,400,387,1182
02M288,409,393,392,1194
02M294,394,384,378,1156
02M296,374,375,362,1111
02M298,423,438,432,1293
02M300,404,449,416,1269
02M303,353,358,340,1051
02M305,375,388,385,1148
02M308,403,392,405,1200
02M313,408,390,390,1188
02M316,373,370,384,1127
02M374,391,391,394,1176
02M376,473,483,479,1435
02M392,s,s,s,0
02M393,s,s,s,0
02M394,319,512,357,1188
02M399,s,s,s,0
02M400,465,493,461,1419
02M407,492,465,467,1424
02M408,509,490,523,1522
02M411,496,563,518,1577
02M412,537,590,550,1677
02M413,517,533,515,1565
02M414,468,492,459,1419
02M416,572,594,592,1758
02M418,528,553,533,1614
02M419,390,399,381,1170
02M420,429,449,428,1306
02M425,416,426,391,1233
02M427,s,s,s,0
02M429,356,357,349,1062
02M437,s,s,s,0
02M438,s,s,s,0
02M439,441,473,458,1372
02M440,378,365,368,1111
02M449,395,416,388,1199
02M459,376,460,391,1227
02M460,373,387,360,1120
02M473,s,s,s,0
02M475,679,735,682,2096
02M489,443,489,442,1374
02M500,370,349,351,1070
02M519,469,472,475,1416
02M520,407,440,393,1240
02M529,414,425,400,1239
02M531,429,404,420,1253
02M542,336,378,344,1058
02M543,391,395,382,1168
02M544,389,371,335,1095
02M545,412,581,431,1424
02M550,368,436,352,1156
02M551,405,423,384,1212
02M560,498,440,477,1415
02M565,527,508,512,1547
02M570,350,337,345,1032
02M575,345,517,343,1205
02M580,408,384,403,1195
02M586,458,416,429,1303
02M600,423,423,411,1257
02M605,426,403,426,1255
02M615,399,418,390,1207
02M620,370,379,359,1108
02M625,395,382,376,1153
02M630,444,441,430,1315
02M655,409,424,403,1236
03M283,406,379,408,1193
03M299,374,384,374,1132
03M307,384,390,370,1144
03M402,s,s,s,0
03M403,s,s,s,0
03M404,416,403,381,1200
03M415,371,368,370,1109
03M417,s,s,s,0
03M470,370,390,358,1118
03M479,577,575,592,1744
03M485,566,564,577,1707
03M492,396,398,402,1196
03M494,433,433,411,1277
03M505,401,369,351,1121
03M541,473,506,467,1446
03M577,s,s,s,0
03M860,356,379,361,1096
04M409,354,357,373,1084
04M435,461,514,455,1430
04M495,373,379,376,1128
04M555,405,421,395,1221
04M610,432,446,448,1326
04M635,369,369,357,1095
04M680,358,351,345,1054
05M285,357,318,333,1008
05M304,413,399,398,1210
05M362,s,s,s,0
05M367,354,366,342,1062
05M369,360,353,364,1077
05M469,354,360,385,1099
05M499,458,474,442,1374
05M670,396,402,404,1202
05M685,369,361,355,1085
05M692,605,654,588,1847
06M293,408,446,416,1270
06M346,362,376,367,1105
06M348,380,395,399,1174
06M423,s,s,s,0
06M457,394,357,346,1097
06M462,365,384,378,1127
06M463,369,380,349,1098
06M467,363,378,361,1102
06M468,400,422,402,1224
06M540,430,456,423,1309
06M552,339,349,326,1014
07X221,364,378,348,1090
07X321,379,364,382,1125
07X334,310,324,311,945
07X379,s,s,s,0
07X381,s,s,s,0
07X427,361,359,357,1077
07X473,351,375,371,1097
07X495,403,394,404,1201
07X500,420,426,411,1257
07X520,399,396,391,1186
07X527,362,378,363,1103
07X547,367,356,361,1084
07X548,387,411,383,1181
07X551,413,381,407,1201
07X600,394,400,364,1158
07X655,398,416,370,1184
07X670,363,368,364,1095
08X269,s,s,s,0
08X282,407,386,378,1171
08X293,384,385,389,1158
08X295,416,390,394,1200
08X305,337,361,340,1038
08X312,387,402,375,1164
08X332,363,371,350,1084
08X367,s,s,s,0
08X376,s,s,s,0
08X377,367,369,376,1112
08X405,412,436,393,1241
08X408,402,373,413,1188
08X432,s,s,s,0
08X452,369,371,365,1105
08X507,s,s,s,0
08X519,373,370,356,1099
08X530,373,381,377,1131
08X537,s,s,s,0
08X540,366,400,368,1134
08X560,404,368,399,1171
08X650,377,359,376,1112
09X227,324,376,349,1049
09X231,373,387,374,1134
09X239,372,355,357,1084
09X241,411,464,415,1290
09X250,393,394,382,1169
09X252,369,367,356,1092
09X260,459,480,457,1396
09X263,356,363,356,1075
09X276,361,353,367,1081
09X297,386,386,376,1148
09X324,s,s,s,0
09X329,382,365,391,1138
09X365,315,339,297,951
09X403,314,312,339,965
09X404,363,360,351,1074
09X412,356,376,351,1083
09X413,400,419,402,1221
09X414,379,364,379,1122
09X505,404,418,402,1224
09X517,368,384,369,1121
09X525,384,394,388,1166
09X543,353,315,371,1039
10X141,438,455,440,1333
10X213,373,412,365,1150
10X225,405,391,394,1190
10X237,382,393,382,1157
10X243,382,406,370,1158
10X268,304,356,302,962
10X284,402,395,385,1182
10X319,s,s,s,0
10X342,300,333,301,934
10X368,390,408,383,1181
10X374,392,401,387,1180
10X397,343,356,330,1029
10X433,370,371,365,1106
10X434,404,418,400,1222
10X437,355,350,372,1077
10X438,367,385,367,1119
10X439,366,364,352,1082
10X440,419,426,410,1255
10X442,423,420,427,1270
10X445,632,688,649,1969
10X475,351,362,339,1052
10X477,414,435,414,1263
10X478,s,s,s,0
10X546,348,362,354,1064
10X549,372,379,364,1115
10X660,362,382,356,1100
10X667,350,356,317,1023
10X696,636,648,636,1920
11X249,370,381,382,1133
11X253,400,357,390,1147
11X265,377,391,367,1135
11X270,386,394,361,1141
11X275,381,376,354,1111
11X288,444,471,433,1348
11X290,387,365,383,1135
11X299,387,391,391,1169
11X415,367,361,353,1081
11X417,s,s,s,0
11X418,419,433,416,1268
11X455,386,397,368,1151
11X456,s,s,s,0
11X513,332,381,335,1048
11X514,377,372,363,1112
11X541,372,382,375,1129
11X542,431,438,419,1288
11X544,383,378,365,1126
11X545,388,393,382,1163
12X245,348,344,354,1046
12X248,347,367,341,1055
12X251,381,381,360,1122
12X262,361,353,360,1074
12X267,408,432,411,1251
12X271,366,378,358,1102
12X278,390,401,364,1155
12X388,321,351,298,970
12X428,s,s,s,0
12X446,380,372,349,1101
12X478,s,s,s,0
12X479,s,s,s,0
12X480,398,385,398,1181
12X550,304,323,312,939
12X682,342,346,341,1029
12X684,378,374,362,1114
12X690,375,387,376,1138
12X692,332,357,349,1038
13K265,352,349,373,1074
13K336,439,374,418,1231
13K350,360,364,356,1080
13K412,375,355,384,1114
13K419,399,417,395,1211
13K430,587,659,587,1833
13K439,305,364,312,981
13K483,400,417,389,1206
13K499,384,364,368,1116
13K509,400,390,403,1193
13K527,s,s,s,0
13K553,435,383,379,1197
13K575,398,391,394,1183
13K595,438,443,431,1312
13K605,406,391,392,1189
13K616,s,s,s,0
13K670,471,472,448,1391
13K674,441,499,413,1353
14K071,365,361,359,1085
14K322,s,s,s,0
14K404,387,357,381,1125
14K449,586,584,570,1740
14K454,407,386,396,1189
14K474,364,379,371,1114
14K477,413,396,395,1204
14K478,398,421,396,1215
14K488,367,373,350,1090
14K558,363,385,364,1112
14K561,397,410,380,1187
14K586,371,377,355,1103
14K610,367,376,350,1093
14K632,382,372,368,1122
14K685,359,335,341,1035
14K923,s,s,s,0
15K429,361,367,383,1111
15K448,393,399,387,1179
15K462,398,411,394,1203
15K463,397,391,381,1169
15K464,379,416,380,1175
15K497,405,415,392,1212
15K519,398,402,385,1185
15K520,352,341,300,993
15K529,s,s,s,0
15K530,368,365,368,1101
15K656,426,421,411,1258
15K667,s,s,s,0
15K698,430,416,425,1271
16K393,355,355,358,1068
16K455,365,370,362,1097
16K498,362,372,358,1092
16K594,370,372,351,1093
16K688,s,s,s,0
17K382,396,374,369,1139
17K408,352,342,351,1045
17K467,s,s,s,0
17K489,394,364,334,1092
17K524,287,335,291,913
17K528,403,385,388,1176
17K531,348,381,359,1088
17K533,377,404,372,1153
17K537,338,349,340,1027
17K539,362,375,368,1105
17K543,457,462,441,1360
17K544,386,391,369,1146
17K546,418,441,414,1273
17K547,388,382,373,1143
17K548,385,393,373,1151
17K568,372,356,335,1063
17K590,476,481,479,1436
17K600,425,413,413,1251
17K625,365,363,355,1083
17K751,s,s,s,0
18K563,313,320,330,963
18K566,374,377,394,1145
18K567,383,358,377,1118
18K569,368,378,346,1092
18K576,387,377,379,1143
18K578,384,362,351,1097
18K589,361,360,359,1080
18K617,404,393,386,1183
18K629,393,395,381,1169
18K633,386,380,393,1159
18K635,400,370,370,1140
18K637,363,381,367,1111
18K642,376,385,374,1135
18K673,410,403,378,1191
