DBN,School Name,Cohort Year,Total Cohort Num,Total Grads Num,Pct of cohort achieving APM,pct grad 
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2006,78,43,9.00%,0.551282051
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2007,77,41,6.50%,0.532467532
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2006,124,53,13.70%,0.427419355
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2007,150,99,12.70%,0.66
01M509,MARTA VALLE SECONDARY SCHOOL,2006,84,47,16.70%,0.55952381
01M509,MARTA VALLE SECONDARY SCHOOL,2007,95,47,6.30%,0.494736842
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2006,193,105,32.60%,0.544041451
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2007,235,74,19.10%,0.314893617
01M539,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2006,46,46,91.30%,1
01M539,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2007,128,122,77.30%,0.953125
01M650,CASCADES HIGH SCHOOL,2006,89,49,10.10%,0.550561798
01M650,CASCADES HIGH SCHOOL,2007,118,45,3.40%,0.381355932
01M696,BARD HIGH SCHOOL EARLY COLLEGE,2006,139,134,71.20%,0.964028777
01M696,BARD HIGH SCHOOL EARLY COLLEGE,2007,125,122,74.40%,0.976
02M047,AMERICAN SIGN LANGUAGE & ENGLISH SCHOOL,2006,25,19,s,0.76
02M047,AMERICAN SIGN LANGUAGE & ENGLISH SCHOOL,2007,23,16,s,0.695652174
02M288,FOOD AND FINANCE HIGH SCHOOL,2006,102,91,13.70%,0.892156863
02M288,FOOD AND FINANCE HIGH SCHOOL,2007,90,69,8.90%,0.766666667
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,2006,75,58,18.70%,0.773333333
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,2007,82,61,8.50%,0.743902439
02M298,PACE HIGH SCHOOL,2006,92,78,30.40%,0.847826087
02M298,PACE HIGH SCHOOL,2007,94,86,28.70%,0.914893617
02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION,2006,80,49,15.00%,0.6125
02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION,2007,86,47,16.30%,0.546511628
02M305,URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW,2006,61,46,4.90%,0.754098361
02M305,URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW,2007,59,37,13.60%,0.627118644
02M308,LOWER MANHATTAN ARTS ACADEMY,2006,68,46,7.40%,0.676470588
02M308,LOWER MANHATTAN ARTS ACADEMY,2007,63,46,6.30%,0.73015873
