DBN,SAT,Regents,Gradrate
01M292,1122,0.07,0.532467532
01M448,1172,0.13,0.66
01M450,1149,NA,NA
01M458,1174,NA,NA
01M509,1207,0.06,0.494736842
01M515,1205,0.19,0.314893617
01M539,1621,0.77,0.953125
01M650,1246,0.03,0.381355932
01M696,1856,0.74,0.976
02M047,1182,NA,0.695652174
02M288,1194,0.09,0.766666667
02M294,1156,NA,NA
02M296,1111,0.09,0.743902439
02M298,1293,0.29,0.914893617
02M300,1269,0.16,0.546511628
02M303,1051,NA,NA
02M305,1148,0.14,0.627118644
02M308,1200,0.06,0.73015873
02M313,1188,NA,NA
02M316,1127,0.03,0.606557377
02M374,1176,0.01,0.736111111
02M376,1435,NA,NA
02M394,1188,NA,0.071428571
02M400,1419,0.37,0.802941176
02M407,1424,NA,NA
02M408,1522,0.31,0.9
02M411,1577,0.81,0.990566038
02M412,1677,0.7,0.905109489
02M413,1565,NA,NA
02M414,1419,0.42,0.959183673
02M416,1758,0.88,1
02M418,1614,0.66,0.917808219
02M419,1170,NA,NA
02M420,1306,0.24,0.790502793
02M425,1233,0.13,0.701986755
02M429,1062,NA,NA
02M439,1372,NA,NA
02M440,1111,0.07,0.287671233
02M449,1199,NA,NA
02M459,1227,NA,NA
02M460,1120,0.04,0.461916462
02M475,2096,0.96,0.970663265
02M489,1374,0.31,0.802083333
02M500,1070,0,0.576271186
02M519,1416,0.4,0.929411765
02M520,1240,0.16,0.583629893
02M529,1239,0.13,0.537634409
02M531,1253,0,0.820512821
02M542,1058,0.1,0.689655172
02M543,1168,0.08,0.707865169
02M544,1095,0.01,0.186666667
02M545,1424,0.6,0.922077922
02M550,1156,0.15,0.445783133
02M551,1212,0.06,0.677777778
02M560,1415,NA,NA
02M565,1547,NA,NA
02M570,1032,NA,NA
02M575,1205,0.21,0.397183099
02M580,1195,0.1,0.531746032
02M586,1303,NA,0.322580645
02M600,1257,0.43,0.84375
02M605,1255,NA,NA
02M615,1207,0.06,0.45751634
02M620,1108,0.04,0.492753623
02M625,1153,0.05,0.53117207
02M630,1315,0.19,0.733576642
02M655,1236,0.14,0.725663717
03M283,1193,0.01,0.274725275
03M299,1132,0.03,0.482758621
03M307,1144,0.1,0.715789474
03M404,1200,0.02,0.221374046
03M415,1109,0.07,0.598360656
03M470,1118,0.03,0.32079646
03M479,1744,NA,NA
03M485,1707,0.85,0.975041597
03M492,1196,0.17,0.696078431
03M494,1277,0.13,0.711267606
03M505,1121,0.03,0.24789916
03M541,1446,0.54,0.866071429
03M860,1096,0.14,0.65625
04M409,1084,NA,NA
04M435,1430,0.54,0.886597938
04M495,1128,0.08,0.714285714
04M555,1221,NA,NA
04M610,1326,0.3,0.984375
04M635,1095,0.02,0.428571429
04M680,1054,NA,0.012987013
05M285,1008,NA,0.179775281
05M304,1210,0.04,0.666666667
05M367,1062,0.08,0.79245283
05M369,1077,0.03,0.671428571
05M469,1099,0,0.666666667
05M499,1374,0.42,0.892156863
05M670,1202,0.28,0.747368421
05M685,1085,NA,NA
05M692,1847,0.92,0.927927928
06M293,1270,NA,NA
06M346,1105,NA,NA
06M348,1174,NA,NA
06M457,1097,NA,NA
06M462,1127,0.17,0.621301775
06M463,1098,0.05,0.483221477
06M467,1102,0.07,0.718390805
06M468,1224,0.12,0.462857143
06M540,1309,0.25,0.810397554
06M552,1014,0.11,0.606741573
07X221,1090,0.11,0.833333333
07X321,1125,NA,0.06122449
07X334,945,NA,0.4
07X379,NA,NA,0.108695652
07X381,NA,NA,0.042253521
07X427,1077,NA,NA
07X473,1097,0.02,0.505882353
07X495,1201,NA,NA
07X500,1257,0.26,0.770114943
07X520,1186,0.05,0.541284404
07X527,1103,0.02,0.568807339
07X547,1084,0,0.5
