DBN,SAT,REGENTS,CLUSTER,GRADE,GRADRATE
01M450,MED,<NA>,<NA>,A,<NA>
01M450,MED,<NA>,<NA>,A,<NA>
01M539,HIGH,HIGH,HIGH,A,HIGH
01M539,HIGH,HIGH,HIGH,A,HIGH
01M696,HIGH,HIGH,HIGH,B,HIGH
02M047,MED,<NA>,<NA>,B,MED
02M288,MED,MED,LOW,A,HIGH
02M296,LOW,MED,LOW,A,HIGH
02M300,HIGH,HIGH,LOW,C,MED
02M303,LOW,<NA>,<NA>,A,<NA>
02M313,MED,<NA>,<NA>,C,<NA>
02M374,MED,LOW,LOW,C,HIGH
02M376,HIGH,<NA>,<NA>,B,<NA>
02M392,<NA>,<NA>,<NA>,,<NA>
02M393,<NA>,<NA>,<NA>,,<NA>
02M399,<NA>,<NA>,<NA>,,<NA>
02M400,HIGH,HIGH,MED,B,HIGH
02M407,HIGH,<NA>,<NA>,A,<NA>
02M407,HIGH,<NA>,<NA>,C,<NA>
02M408,HIGH,HIGH,MED,B,HIGH
02M408,HIGH,HIGH,MED,B,HIGH
02M411,HIGH,HIGH,HIGH,A,HIGH
02M412,HIGH,HIGH,HIGH,A,HIGH
02M413,HIGH,<NA>,<NA>,C,<NA>
02M413,HIGH,<NA>,<NA>,A,<NA>
02M414,HIGH,HIGH,MED,A,HIGH
02M416,HIGH,HIGH,HIGH,A,HIGH
02M419,MED,<NA>,<NA>,C,<NA>
02M420,HIGH,HIGH,MED,B,HIGH
02M427,<NA>,<NA>,<NA>,,<NA>
02M429,LOW,<NA>,<NA>,,<NA>
02M432,<NA>,<NA>,<NA>,,<NA>
02M437,<NA>,<NA>,<NA>,,<NA>
02M438,<NA>,<NA>,<NA>,,<NA>
02M439,HIGH,<NA>,<NA>,A,<NA>
02M440,LOW,MED,LOW,,LOW
02M442,<NA>,<NA>,<NA>,B,<NA>
02M449,MED,<NA>,<NA>,A,<NA>
02M459,HIGH,<NA>,<NA>,A,<NA>
02M460,LOW,LOW,LOW,,LOW
02M500,LOW,LOW,LOW,A,MED
02M507,<NA>,<NA>,<NA>,,<NA>
02M519,HIGH,HIGH,MED,A,HIGH
02M529,HIGH,MED,LOW,B,MED
02M531,HIGH,LOW,MED,A,HIGH
02M542,LOW,MED,LOW,A,MED
02M544,LOW,LOW,LOW,C,LOW
02M550,MED,MED,LOW,A,LOW
02M560,HIGH,<NA>,<NA>,C,<NA>
02M565,HIGH,<NA>,<NA>,A,<NA>
02M570,LOW,<NA>,<NA>,A,<NA>
02M575,MED,HIGH,LOW,A,LOW
02M586,HIGH,<NA>,<NA>,B,LOW
02M600,HIGH,HIGH,MED,A,HIGH
02M605,HIGH,<NA>,<NA>,B,<NA>
02M615,MED,MED,LOW,B,LOW
02M620,LOW,LOW,LOW,,LOW
02M625,MED,LOW,LOW,F,MED
02M630,HIGH,HIGH,MED,B,HIGH
02M655,HIGH,MED,MED,B,HIGH
02M655,HIGH,MED,MED,B,HIGH
03M283,MED,LOW,LOW,,LOW
03M299,MED,LOW,LOW,B,LOW
03M307,MED,MED,LOW,B,HIGH
03M402,<NA>,<NA>,<NA>,,<NA>
03M403,<NA>,<NA>,<NA>,,<NA>
03M404,MED,LOW,LOW,C,LOW
03M415,LOW,MED,LOW,C,MED
