DBN,Regents,Gradrate
01M292,0.07,0.532467532
01M448,0.13,0.66
01M509,0.06,0.494736842
01M515,0.19,0.314893617
01M539,0.77,0.953125
01M650,0.03,0.381355932
01M696,0.74,0.976
02M047,NA,0.695652174
02M288,0.09,0.766666667
02M296,0.09,0.743902439
02M298,0.29,0.914893617
02M300,0.16,0.546511628
02M305,0.14,0.627118644
02M308,0.06,0.73015873
02M316,0.03,0.606557377
02M374,0.01,0.736111111
02M394,NA,0.071428571
02M400,0.37,0.802941176
02M408,0.31,0.9
02M411,0.81,0.990566038
02M412,0.7,0.905109489
02M414,0.42,0.959183673
02M416,0.88,1
02M418,0.66,0.917808219
02M420,0.24,0.790502793
02M425,0.13,0.701986755
02M440,0.07,0.287671233
02M460,0.04,0.461916462
02M475,0.96,0.970663265
02M489,0.31,0.802083333
02M500,0,0.576271186
02M519,0.4,0.929411765
02M520,0.16,0.583629893
02M529,0.13,0.537634409
02M531,0,0.820512821
02M542,0.1,0.689655172
02M543,0.08,0.707865169
02M544,0.01,0.186666667
02M545,0.6,0.922077922
02M550,0.15,0.445783133
02M551,0.06,0.677777778
02M575,0.21,0.397183099
02M580,0.1,0.531746032
02M586,NA,0.322580645
02M600,0.43,0.84375
02M615,0.06,0.45751634
02M620,0.04,0.492753623
02M625,0.05,0.53117207
02M630,0.19,0.733576642
02M655,0.14,0.725663717
03M283,0.01,0.274725275
03M299,0.03,0.482758621
03M307,0.1,0.715789474
03M404,0.02,0.221374046
03M415,0.07,0.598360656
03M470,0.03,0.32079646
03M485,0.85,0.975041597
03M492,0.17,0.696078431
03M494,0.13,0.711267606
03M505,0.03,0.24789916
03M541,0.54,0.866071429
03M860,0.14,0.65625
04M435,0.54,0.886597938
04M495,0.08,0.714285714
04M610,0.3,0.984375
04M635,0.02,0.428571429
04M680,NA,0.012987013
05M172,NA,NA
05M285,NA,0.179775281
05M304,0.04,0.666666667
05M367,0.08,0.79245283
05M369,0.03,0.671428571
05M469,0,0.666666667
05M499,0.42,0.892156863
05M670,0.28,0.747368421
05M692,0.92,0.927927928
06M293,NA,NA
06M346,NA,NA
06M462,0.17,0.621301775
06M463,0.05,0.483221477
06M467,0.07,0.718390805
06M468,0.12,0.462857143
06M540,0.25,0.810397554
06M552,0.11,0.606741573
07X221,0.11,0.833333333
07X321,NA,0.06122449
07X334,NA,0.4
07X379,NA,0.108695652
07X381,NA,0.042253521
07X473,0.02,0.505882353
07X500,0.26,0.770114943
07X520,0.05,0.541284404
07X527,0.02,0.568807339
07X547,0,0.5
07X548,0.15,0.792682927
07X551,0.16,0.820224719
07X600,0.05,0.431818182
07X655,0.02,0.357142857
07X670,0.08,0.707792208
08X192,NA,NA
08X282,0.06,0.876923077
08X293,0.06,0.674603175
08X295,0.03,0.487804878
08X305,0.04,0.462962963
08X312,0.05,0.626086957
08X332,0.03,0.519230769
08X377,NA,0.140186916
08X405,0.13,0.461303462
08X452,0.01,0.658823529
08X519,0.04,0.530864198
08X540,0.01,0.420634921
08X560,0,0.176136364
08X650,0.05,0.378453039
09X227,0.01,0.450549451
09X231,0.1,0.700854701
09X239,0.06,0.397590361
09X241,0.32,0.915492958
09X250,0.16,0.666666667
09X252,0.08,0.841584158
09X260,0.35,0.777777778
09X263,0.02,0.568627451
09X276,0.07,0.581395349
09X297,0.08,0.547169811
09X329,0.01,0.388888889
09X365,0.06,0.677777778
09X403,0.13,0.586538462
09X404,0.07,0.592
09X412,0.05,0.459016393
09X413,0.26,0.771428571
09X414,0.05,0.371212121
09X505,0.08,0.656565657
09X517,0.07,0.707865169
09X525,0.08,0.638554217
09X543,0.04,0.66
10X141,0.28,0.8625
10X213,0.1,0.649484536
10X225,0.28,0.847058824
10X237,0.03,0.556962025
