01M292,0.07,MED,
01M448,0.13,MED,
01M509,0.06,MED,
01M515,0.19,HIGH,
01M539,0.77,HIGH,
01M650,0.03,LOW,0.15
01M696,0.74,HIGH,0.05
02M288,0.09,MED,
02M296,0.09,MED,
02M298,0.29,HIGH,
02M300,0.16,HIGH,
02M305,0.14,MED,
02M308,0.06,MED,
02M316,0.03,LOW,
02M374,0.01,LOW,
02M400,0.37,HIGH,
02M408,0.31,HIGH,
02M411,0.81,HIGH,
02M412,0.7,HIGH,
02M414,0.42,HIGH,
02M416,0.88,HIGH,
02M418,0.66,HIGH,
02M420,0.24,HIGH,
02M425,0.13,MED,
02M440,0.07,MED,
02M460,0.04,LOW,
02M475,0.96,HIGH,
02M489,0.31,HIGH,
02M500,0,LOW,
02M519,0.4,HIGH,
02M520,0.16,HIGH,
02M529,0.13,MED,
02M531,0,LOW,
02M542,0.1,MED,
02M543,0.08,MED,
02M544,0.01,LOW,
02M545,0.6,HIGH,
02M550,0.15,MED,
02M551,0.06,MED,
02M575,0.21,HIGH,
02M580,0.1,MED,
02M600,0.43,HIGH,
02M615,0.06,MED,
02M620,0.04,LOW,
02M625,0.05,LOW,
02M630,0.19,HIGH,
02M655,0.14,MED,
03M283,0.01,LOW,
03M299,0.03,LOW,
03M307,0.1,MED,
03M404,0.02,LOW,
03M415,0.07,MED,
03M470,0.03,LOW,
03M485,0.85,HIGH,
03M492,0.17,HIGH,
03M494,0.13,MED,
03M505,0.03,LOW,
03M541,0.54,HIGH,
03M860,0.14,MED,
04M435,0.54,HIGH,
04M495,0.08,MED,
04M610,0.3,HIGH,
04M635,0.02,LOW,
05M304,0.04,LOW,
05M367,0.08,MED,
05M369,0.03,LOW,
05M469,0,LOW,
05M499,0.42,HIGH,
05M670,0.28,HIGH,
05M692,0.92,HIGH,
06M462,0.17,HIGH,
06M463,0.05,LOW,
06M467,0.07,MED,
06M468,0.12,MED,
06M540,0.25,HIGH,
06M552,0.11,MED,
07X221,0.11,MED,
07X473,0.02,LOW,
07X500,0.26,HIGH,
07X520,0.05,LOW,
07X527,0.02,LOW,
07X547,0,LOW,
07X548,0.15,MED,
07X551,0.16,HIGH,
07X600,0.05,LOW,
07X655,0.02,LOW,
07X670,0.08,MED,
08X282,0.06,MED,
08X293,0.06,MED,
08X295,0.03,LOW,
08X305,0.04,LOW,
08X312,0.05,LOW,
08X332,0.03,LOW,
08X405,0.13,MED,
08X452,0.01,LOW,
08X519,0.04,LOW,
08X540,0.01,LOW,
08X560,0,LOW,
08X650,0.05,LOW,
09X227,0.01,LOW,
09X231,0.1,MED,
09X239,0.06,MED,
09X241,0.32,HIGH,
09X250,0.16,HIGH,
09X252,0.08,MED,
09X260,0.35,HIGH,
09X263,0.02,LOW,
09X276,0.07,MED,
09X297,0.08,MED,
09X329,0.01,LOW,
09X365,0.06,MED,
09X403,0.13,MED,
09X404,0.07,MED,
09X412,0.05,LOW,
09X413,0.26,HIGH,
09X414,0.05,LOW,
09X505,0.08,MED,
09X517,0.07,MED,
09X525,0.08,MED,
09X543,0.04,LOW,
10X141,0.28,HIGH,
10X213,0.1,MED,
10X225,0.28,HIGH,
10X237,0.03,LOW,
10X243,0.08,MED,
10X268,0.07,MED,
10X284,0.11,MED,
10X342,0.05,LOW,
10X368,0.2,HIGH,
10X374,0.3,HIGH,
