,DBN,SAT.Critical.Reading.Avg..Score,SAT.Math.Avg..Score,SAT.Writing.Avg..Score,Pct.of.cohort.achieving.APM,pct.grad,fit.cluster
1,01M292,355,404,363,6.50%,0.532467532,2
3,01M448,383,423,366,12.70%,0.66,2
6,01M509,390,433,384,6.30%,0.494736842,2
7,01M515,332,557,316,19.10%,0.314893617,2
9,01M539,522,574,525,77.30%,0.953125,3
12,01M650,417,418,411,3.40%,0.381355932,2
14,01M696,624,604,628,74.40%,0.976,3
17,02M288,409,393,392,8.90%,0.766666667,2
20,02M296,374,375,362,8.50%,0.743902439,2
21,02M298,423,438,432,28.70%,0.914893617,1
23,02M300,404,449,416,16.30%,0.546511628,2
25,02M305,375,388,385,13.60%,0.627118644,2
28,02M308,403,392,405,6.30%,0.73015873,2
29,02M316,373,370,384,3.30%,0.606557377,2
32,02M374,391,391,394,1.40%,0.736111111,2
36,02M400,465,493,461,36.80%,0.802941176,1
37,02M408,509,490,523,31.00%,0.9,1
39,02M411,496,563,518,81.10%,0.990566038,3
42,02M412,537,590,550,70.10%,0.905109489,3
44,02M414,468,492,459,41.80%,0.959183673,1
46,02M416,572,594,592,87.70%,1,3
47,02M418,528,553,533,65.80%,0.917808219,3
50,02M420,429,449,428,23.70%,0.790502793,1
52,02M425,416,426,391,13.20%,0.701986755,2
54,02M440,378,365,368,6.80%,0.287671233,2
56,02M460,373,387,360,4.40%,0.461916462,2
58,02M475,679,735,682,96.20%,0.970663265,3
59,02M489,443,489,442,30.70%,0.802083333,1
62,02M500,370,349,351,0.00%,0.576271186,2
64,02M519,469,472,475,40.00%,0.929411765,1
65,02M520,407,440,393,16.40%,0.583629893,2
67,02M529,414,425,400,13.40%,0.537634409,2
70,02M531,429,404,420,0.00%,0.820512821,1
72,02M542,336,378,344,9.50%,0.689655172,2
74,02M543,391,395,382,7.90%,0.707865169,2
76,02M544,389,371,335,0.90%,0.186666667,2
78,02M545,412,581,431,59.70%,0.922077922,1
80,02M550,368,436,352,14.50%,0.445783133,2
82,02M551,405,423,384,5.60%,0.677777778,2
83,02M575,345,517,343,20.60%,0.397183099,2
86,02M580,408,384,403,10.30%,0.531746032,2
89,02M600,423,423,411,43.20%,0.84375,1
91,02M615,399,418,390,5.90%,0.45751634,2
93,02M620,370,379,359,3.80%,0.492753623,2
95,02M625,395,382,376,4.50%,0.53117207,2
97,02M630,444,441,430,19.00%,0.733576642,1
99,02M655,409,424,403,14.20%,0.725663717,1
101,03M283,406,379,408,1.10%,0.274725275,2
103,03M299,374,384,374,3.40%,0.482758621,2
106,03M307,384,390,370,9.50%,0.715789474,2
107,03M404,416,403,381,1.50%,0.221374046,2
109,03M415,371,368,370,6.60%,0.598360656,2
111,03M470,370,390,358,3.10%,0.32079646,2
113,03M485,566,564,577,84.50%,0.975041597,3
