dbn,locationname,NA,rr_p,p_q1a_1,p_q1a_2,p_q1a_3,p_q1a_4,p_q1b_1,p_q1b_2,p_q1b_3,p_q1b_4,p_q1c_1,p_q1c_2,p_q1c_3,p_q1c_4,p_q1d_1,p_q1d_2,p_q1d_3,p_q1d_4,p_q1e_1,p_q1e_2,p_q1e_3,p_q1e_4,p_q1f_1,p_q1f_2,p_q1f_3,p_q1f_4,p_q1g_1,p_q1g_2,p_q1g_3,p_q1g_4,p_q1h_1,p_q1h_2,p_q1h_3,p_q1h_4,p_q1i_1,p_q1i_2,p_q1i_3,p_q1i_4,p_q1j_1,p_q1j_2,p_q1j_3,p_q1j_4,p_q1k_1,p_q1k_2,p_q1k_3,p_q1k_4,p_q1l_1,p_q1l_2,p_q1l_3,p_q1l_4,p_q1m_1,p_q1m_2,p_q1m_3,p_q1m_4,p_q1n_1,p_q1n_2,p_q1n_3,p_q1n_4,p_q1o_1,p_q1o_2,p_q1o_3,p_q1o_4,p_q1p_1,p_q1p_2,p_q1p_3,p_q1p_4,p_q1q_1,p_q1q_2,p_q1q_3,p_q1q_4,p_q1r_1,p_q1r_2,p_q1r_3,p_q1r_4,p_q2a_1,p_q2a_2,p_q2a_3,p_q2a_4,p_q2a_5,p_q2b_1,p_q2b_2,p_q2b_3,p_q2b_4,p_q2b_5,p_q2c_1,p_q2c_2,p_q2c_3,p_q2c_4,p_q2c_5,p_q2d_1,p_q2d_2,p_q2d_3,p_q2d_4,p_q2d_5,p_q2e_1,p_q2e_2,p_q2e_3,p_q2e_4,p_q2e_5,p_q2f_1,p_q2f_2,p_q2f_3,p_q2f_4,p_q2f_5,p_q2g_1,p_q2g_2,p_q2g_3,p_q2g_4,p_q2g_5,p_q2h_1,p_q2h_2,p_q2h_3,p_q2h_4,p_q2h_5,p_q2i_1,p_q2i_2,p_q2i_3,p_q2i_4,p_q2i_5,p_q2j_1,p_q2j_2,p_q2j_3,p_q2j_4,p_q2j_5,p_q3a_1,p_q3a_2,p_q3a_3,p_q3a_4,p_q3b_1,p_q3b_2,p_q3b_3,p_q3b_4,p_q4a_1,p_q4a_2,p_q4a_3,p_q4a_4,p_q4b_1,p_q4b_2,p_q4b_3,p_q4b_4,p_q4c_1,p_q4c_2,p_q4c_3,p_q4c_4,p_q4d_1,p_q4d_2,p_q4d_3,p_q4d_4,p_q5a_1,p_q5a_2,p_q5a_3,p_q5a_4,p_q5b_1,p_q5b_2,p_q5b_3,p_q5b_4,p_q5c_1,p_q5c_2,p_q5c_3,p_q5c_4,p_q7a_1,p_q7b_1,p_q7c_1,p_q7d_1,p_q7e_1,p_q7f_1,p_q7g_1,p_q7h_1,p_q7i_1,p_q7j_1,p_q8_1,p_q8_2,p_q8_3,p_q8_4,p_q8_5,p_q8_6,p_q8_7,p_q8_8,p_q8_9,p_q8_10,p_q9_1,p_q9_2,p_q9_3,p_q9_4,p_q10a_1,p_q10a_2,p_q10a_3,p_q10a_4,p_q10b_1,p_q10b_2,p_q10b_3,p_q10b_4,
01M015,P.S. 015 Roberto Clemente,ES,66%,53%,46%,1%,0%,49%,47%,4%,0%,51%,44%,6%,0%,60%,38%,1%,0%,54%,44%,1%,0%,44%,51%,5%,0%,45%,53%,1%,1%,53%,44%,2%,0%,45%,48%,8%,0%,54%,42%,4%,0%,46%,47%,7%,0%,48%,49%,3%,0%,46%,51%,3%,0%,45%,50%,5%,0%,40%,49%,9%,1%,38%,50%,8%,4%,38%,53%,6%,4%,53%,46%,1%,0%,54%,45%,0%,1%,0%,44%,51%,2%,0%,2%,38%,44%,3%,0%,15%,49%,45%,1%,4%,1%,13%,16%,25%,29%,16%,11%,20%,29%,19%,21%,12%,11%,32%,35%,11%,12%,21%,29%,24%,14%,12%,13%,33%,29%,14%,10%,5%,29%,47%,9%,50%,47%,2%,1%,49%,48%,3%,0%,19%,37%,43%,1%,16%,18%,31%,35%,45%,36%,12%,7%,43%,41%,15%,1%,57%,43%,0%,0%,47%,45%,7%,1%,55%,40%,5%,0%,6%,34%,45%,62%,22%,27%,44%,66%,5%,19%,2%,17%,13%,6%,21%,0%,2%,23%,15%,2%,48%,39%,13%,0%,41%,45%,14%,0%,35%,50%,10%,5%
01M019,P.S. 019 Asher Levy,ES,96%,55%,42%,3%,1%,50%,46%,4%,0%,48%,42%,8%,2%,56%,39%,3%,1%,60%,36%,2%,1%,43%,49%,6%,3%,47%,46%,6%,2%,56%,39%,3%,2%,39%,46%,11%,3%,50%,45%,5%,0%,52%,45%,3%,0%,52%,43%,5%,0%,51%,44%,5%,0%,49%,43%,6%,1%,52%,43%,4%,1%,36%,50%,11%,3%,37%,44%,16%,2%,53%,42%,4%,1%,51%,45%,2%,1%,2%,46%,45%,2%,0%,6%,38%,37%,0%,0%,25%,47%,43%,5%,2%,3%,13%,7%,31%,38%,11%,10%,10%,31%,27%,22%,9%,6%,27%,37%,20%,13%,14%,26%,27%,20%,11%,8%,29%,29%,23%,10%,3%,25%,45%,17%,52%,39%,6%,3%,50%,43%,6%,1%,16%,35%,45%,4%,17%,12%,34%,37%,48%,25%,23%,4%,44%,36%,18%,3%,50%,42%,4%,3%,50%,43%,6%,0%,60%,35%,5%,0%,11%,72%,31%,68%,15%,24%,47%,55%,16%,30%,8%,8%,11%,19%,16%,4%,5%,10%,18%,1%,50%,45%,5%,0%,52%,45%,2%,0%,54%,37%,10%,0%
01M020,P.S. 020 Anna Silver,ES,71%,52%,45%,2%,0%,49%,46%,4%,1%,41%,52%,6%,1%,55%,42%,3%,1%,57%,41%,2%,0%,46%,48%,4%,1%,43%,51%,4%,1%,49%,47%,3%,1%,40%,49%,9%,2%,46%,48%,5%,1%,51%,45%,4%,1%,46%,48%,5%,1%,42%,50%,6%,1%,41%,53%,5%,1%,47%,47%,6%,1%,38%,47%,13%,2%,38%,47%,12%,4%,50%,48%,1%,1%,53%,44%,1%,1%,1%,45%,48%,4%,0%,3%,35%,40%,3%,0%,23%,46%,42%,6%,1%,6%,6%,9%,38%,34%,13%,5%,11%,34%,30%,20%,5%,5%,31%,41%,18%,6%,11%,32%,30%,21%,4%,10%,31%,34%,22%,3%,3%,28%,51%,15%,45%,50%,4%,1%,43%,53%,3%,1%,12%,39%,48%,1%,8%,15%,41%,35%,31%,32%,30%,7%,25%,42%,27%,6%,47%,50%,1%,1%,43%,52%,4%,1%,45%,49%,3%,2%,9%,53%,37%,68%,20%,23%,54%,56%,13%,28%,4%,16%,15%,10%,7%,4%,5%,22%,16%,1%,36%,58%,4%,2%,35%,62%,2%,2%,34%,58%,6%,2%
01M034,P.S. 034 Franklin D. Roosevelt,ES/MS,40%,55%,40%,4%,1%,54%,38%,7%,1%,56%,36%,6%,2%,56%,44%,0%,0%,64%,35%,0%,2%,48%,45%,6%,1%,46%,49%,5%,1%,53%,40%,6%,1%,40%,48%,8%,3%,52%,41%,7%,0%,47%,48%,5%,0%,53%,42%,5%,0%,51%,43%,5%,1%,46%,48%,7%,0%,48%,48%,4%,0%,42%,48%,9%,1%,43%,43%,12%,2%,57%,41%,1%,2%,51%,40%,7%,1%,1%,51%,43%,2%,1%,4%,36%,36%,3%,0%,25%,46%,38%,8%,3%,5%,9%,11%,27%,39%,14%,10%,18%,29%,23%,20%,10%,9%,25%,39%,16%,12%,23%,23%,24%,18%,9%,13%,31%,25%,23%,6%,4%,23%,45%,22%,45%,43%,12%,0%,48%,41%,10%,1%,25%,36%,37%,2%,20%,23%,34%,23%,49%,28%,22%,2%,48%,31%,18%,3%,47%,47%,6%,1%,48%,45%,7%,1%,50%,41%,8%,2%,22%,52%,54%,62%,32%,26%,54%,62%,12%,35%,8%,4%,13%,16%,11%,5%,4%,15%,24%,1%,45%,50%,5%,0%,43%,57%,0%,0%,37%,47%,11%,5%
01M063,The STAR Academy Ð P.S.63,ES,70%,70%,28%,1%,1%,68%,29%,2%,1%,63%,33%,3%,1%,63%,34%,1%,2%,66%,32%,1%,1%,51%,37%,12%,0%,56%,38%,6%,0%,60%,38%,2%,0%,55%,36%,9%,0%,56%,40%,4%,0%,58%,38%,3%,1%,63%,34%,3%,0%,58%,37%,5%,0%,56%,34%,9%,0%,56%,40%,5%,0%,42%,48%,9%,2%,39%,48%,11%,2%,62%,35%,3%,0%,50%,45%,4%,0%,1%,54%,42%,4%,0%,1%,41%,38%,3%,1%,17%,50%,42%,2%,2%,4%,8%,13%,29%,45%,5%,4%,15%,31%,32%,19%,7%,6%,21%,50%,16%,5%,16%,23%,33%,23%,5%,13%,22%,37%,23%,4%,5%,18%,56%,18%,49%,45%,3%,3%,53%,43%,3%,1%,17%,46%,36%,1%,13%,23%,28%,36%,50%,31%,16%,3%,47%,33%,19%,1%,56%,39%,4%,1%,61%,32%,6%,1%,66%,32%,1%,1%,17%,74%,39%,57%,20%,34%,55%,75%,15%,41%,8%,8%,16%,16%,8%,5%,5%,16%,14%,1%,50%,42%,8%,0%,64%,36%,0%,0%,56%,32%,12%,0%
01M064,P.S. 064 Robert Simon,ES,78%,48%,47%,3%,2%,43%,46%,9%,2%,42%,46%,9%,3%,49%,47%,3%,1%,55%,44%,1%,0%,46%,51%,4%,0%,45%,47%,6%,1%,48%,46%,5%,1%,39%,49%,9%,3%,47%,44%,8%,1%,41%,51%,6%,2%,45%,50%,5%,1%,38%,52%,9%,1%,43%,51%,6%,0%,41%,47%,11%,2%,35%,48%,16%,2%,37%,47%,14%,2%,49%,47%,3%,1%,47%,49%,2%,0%,3%,43%,47%,5%,2%,3%,39%,43%,1%,2%,16%,42%,44%,8%,0%,7%,2%,8%,27%,47%,16%,3%,9%,28%,37%,23%,2%,9%,24%,43%,22%,5%,17%,26%,31%,22%,4%,9%,32%,33%,22%,3%,3%,23%,52%,19%,45%,47%,6%,3%,44%,46%,8%,2%,16%,38%,44%,2%,15%,17%,35%,33%,33%,37%,23%,8%,34%,37%,26%,4%,44%,51%,4%,1%,44%,46%,7%,3%,48%,45%,5%,2%,13%,64%,47%,61%,22%,25%,47%,63%,14%,33%,9%,9%,24%,14%,6%,1%,4%,12%,21%,0%,44%,41%,11%,5%,43%,41%,11%,5%,38%,48%,10%,3%
01M110,P.S. 110 Florence Nightingale,ES,86%,45%,50%,4%,1%,42%,52%,5%,1%,37%,51%,10%,1%,44%,46%,7%,3%,58%,41%,1%,0%,42%,49%,7%,2%,33%,52%,11%,3%,49%,45%,5%,0%,34%,52%,12%,2%,38%,51%,9%,2%,36%,52%,10%,2%,40%,54%,5%,1%,37%,54%,7%,2%,36%,57%,6%,2%,39%,52%,7%,2%,28%,56%,14%,2%,26%,53%,18%,4%,45%,49%,5%,1%,42%,52%,5%,0%,1%,42%,49%,5%,0%,4%,28%,43%,1%,0%,28%,37%,50%,7%,2%,4%,4%,11%,30%,42%,13%,4%,11%,32%,35%,19%,2%,6%,26%,48%,19%,6%,18%,32%,26%,18%,4%,11%,29%,34%,22%,3%,3%,20%,57%,18%,33%,53%,12%,2%,31%,51%,15%,3%,11%,33%,55%,1%,14%,15%,43%,29%,41%,38%,20%,1%,32%,33%,31%,4%,37%,53%,7%,2%,38%,53%,8%,1%,55%,38%,5%,2%,16%,87%,29%,66%,18%,18%,53%,45%,17%,23%,18%,11%,9%,13%,8%,13%,5%,14%,8%,0%,31%,55%,10%,3%,30%,63%,0%,7%,21%,62%,10%,7%
01M134,P.S. 134 Henrietta Szold,ES,29%,29%,68%,3%,0%,26%,67%,8%,0%,10%,69%,21%,0%,53%,47%,0%,0%,54%,45%,1%,0%,10%,55%,34%,1%,41%,56%,3%,0%,39%,52%,9%,0%,15%,51%,25%,9%,18%,68%,12%,3%,14%,68%,9%,9%,13%,58%,13%,16%,10%,56%,15%,18%,8%,66%,18%,8%,12%,72%,8%,8%,17%,41%,14%,28%,15%,42%,15%,27%,44%,56%,0%,0%,62%,36%,1%,1%,0%,52%,47%,1%,0%,0%,7%,11%,15%,3%,65%,16%,45%,12%,5%,22%,0%,8%,34%,31%,27%,3%,3%,32%,32%,30%,1%,0%,35%,36%,27%,4%,5%,31%,25%,35%,3%,4%,28%,35%,30%,0%,1%,21%,47%,32%,32%,64%,4%,0%,25%,67%,8%,0%,8%,26%,65%,1%,14%,34%,38%,14%,14%,43%,36%,7%,8%,35%,54%,4%,33%,63%,3%,1%,20%,72%,8%,0%,12%,71%,17%,0%,4%,15%,19%,82%,29%,27%,50%,82%,6%,1%,10%,15%,4%,19%,4%,7%,4%,13%,22%,0%,33%,50%,0%,17%,33%,67%,0%,0%,50%,17%,33%,0%
01M137,P.S. 137 John L. Bernstein,ES,74%,64%,34%,0%,2%,53%,41%,4%,2%,53%,37%,7%,3%,65%,32%,2%,1%,64%,34%,1%,1%,57%,36%,4%,2%,51%,46%,1%,2%,63%,33%,3%,1%,50%,39%,7%,4%,58%,38%,3%,1%,55%,40%,4%,1%,61%,34%,4%,1%,55%,40%,3%,1%,57%,38%,4%,1%,59%,36%,2%,3%,44%,43%,10%,3%,44%,38%,16%,2%,55%,40%,3%,2%,54%,33%,4%,3%,5%,60%,33%,1%,3%,3%,39%,37%,0%,2%,21%,51%,35%,7%,4%,3%,13%,10%,24%,38%,15%,10%,8%,26%,33%,24%,10%,3%,28%,38%,20%,13%,9%,24%,30%,24%,14%,7%,22%,39%,19%,9%,3%,24%,50%,14%,60%,33%,4%,3%,63%,33%,3%,1%,19%,36%,43%,2%,17%,9%,24%,50%,35%,26%,29%,11%,44%,28%,17%,12%,61%,36%,2%,1%,53%,39%,6%,2%,63%,33%,2%,2%,6%,37%,41%,61%,13%,21%,53%,65%,12%,23%,5%,15%,15%,23%,15%,0%,0%,13%,16%,0%,47%,50%,3%,0%,40%,57%,3%,0%,39%,54%,4%,4%
01M140,P.S. 140 Nathan Straus,ES/MS,41%,61%,36%,3%,0%,57%,39%,4%,0%,53%,37%,9%,1%,63%,33%,3%,1%,63%,35%,2%,1%,57%,37%,6%,0%,54%,41%,5%,1%,60%,40%,0%,0%,53%,40%,6%,1%,54%,41%,4%,1%,55%,43%,2%,0%,53%,42%,4%,1%,57%,40%,3%,1%,53%,40%,6%,1%,54%,41%,5%,0%,50%,41%,9%,0%,50%,41%,9%,0%,58%,40%,3%,0%,57%,40%,1%,0%,2%,52%,41%,2%,1%,5%,39%,44%,2%,0%,15%,51%,40%,3%,2%,3%,11%,8%,28%,37%,16%,7%,8%,32%,24%,29%,7%,7%,32%,33%,23%,8%,13%,32%,23%,24%,7%,9%,27%,30%,28%,5%,2%,25%,49%,19%,56%,39%,5%,0%,58%,40%,2%,0%,23%,41%,31%,5%,12%,15%,32%,41%,36%,23%,31%,10%,43%,32%,21%,4%,57%,39%,4%,0%,56%,42%,2%,0%,63%,33%,4%,0%,11%,59%,45%,62%,21%,20%,50%,71%,8%,30%,2%,14%,13%,15%,8%,4%,0%,19%,25%,0%,52%,38%,10%,0%,48%,43%,10%,0%,35%,65%,0%,0%
