DBN,School Name,School Type,Total Student Response Rate,1a. Most of the teaching staff at my school expect all students to work hard.,,,,1b. Most of the teaching staff at my school encourage me to keep trying on challenging work.,,,,1c. Most of the teaching staff at my school give me regular and helpful feedback on my work.,,,,1d. Most of the teaching staff at my school give me extra help when I need it.,,,,1e. Most of the teaching staff at my school are teaching me the organizational skills and work habits (like note-taking and keeping track of assignments) that I need to succeed in school.,,,,1f. Most of the teaching staff at my school make me excited about learning.,,,,1g. Most of the teaching staff at my school expect me to continue my education after high school.,,,,2a.  Most adults at my school that I see every day know my name or who I am.,,,,2b.  Most adults at my school care about me.,,,,2c.  Most adults at my school help keep me on track to be promoted to the next grade and to graduate.,,,,2d.  Most adults at my school help keep me on track for college or career.,,,,"3. If you are a student in grades 9-12, ANSWER this question.  If you are a student in grades 6-8, SKIP this question.  
There is an adult who is helping me plan for my next steps after graduation (career planning, college selection and application process, financial aid process, etc.)",,,,"4a. At my school…
 I need to work hard to get good grades.",,,,"4b. At my school…
I keep trying when school work is challenging.",,,,"4c. At my school…
I can do well if I put my mind to it.",,,,"4d. At my school…
I can become a better student if I work hard.",,,,"4e. At my school…
I feel welcome.",,,,"4f. At my school…
I am safe in my classes.",,,,"4g. At my school…
I am safe in the hallways, bathrooms, locker rooms, and cafeteria.",,,,"4h. At my school…
I am safe on school property outside the school building.",,,,"4i. At my school…
there are clear consequences for breaking the rules.",,,,"4j. At my school…
there is an adult whom I trust and can go to for help with a problem.",,,,"4k. At my school…
there is a person or program that helps students resolve conflicts.",,,,"5a.  At my school…
students with disabilities are included in all school activities (lunch, class trips, etc.).",,,,,"5b.  At my school…
most adults treat all students with respect.",,,,,"6a. Most students at my school…
treat each other with respect.",,,,"6b. Most students at my school…
treat adults with respect.",,,,"6c. Most students at my school…
respect students who get good grades.",,,,"7a.  My school…
is kept clean.",,,,"7b.  My school…
offers a wide enough variety of programs, classes and activities to keep me interested in school.",,,,"7c.  My school…
offers opportunities for me to be physically active before, during and after school.",,,,"8f. During this school year, how often have your teachers asked you to…
use computers (laptops, tablets, desktops, etc.) during the school day to complete a task or assignment, such as typing up responses, online research or computer-based exercises?",,,,"9a. This question is about activities that you do during class time. 
(Please mark all that apply.)
During this school year, I have taken one or more classes in…",,,,,,"9b. This question is about activities that you do during class time. 
(Please mark all that apply.)
During this school year, I was offered but did NOT take a class in...",,,,,,"9c. This question is about activities that you do during class time. 
(Please mark all that apply.)
During this school year, I was NOT offered a class in…",,,,,,"10a. This question is about activities that you do outside of class time. 
(Please mark all that apply.)
During this school year, I participated in the following activities before or after school or during free periods…",,,,,"10b. This question is about activities that you do outside of class time. 
(Please mark all that apply.)
During this school year, the following activities were offered before or after school or during free periods but I did NOT participate…",,,,,"10c. This question is about activities that you do outside of class time. 
(Please mark all that apply.)
During this school year, the following activities were NOT offered to me before or after school or during free periods…",,,,,"11a. How often is the following true?
At my school students drink alcohol, use illegal drugs, or abuse prescription drugs while at school.",,,,"11b. How often is the following true?
At my school students get into physical fights.",,,,"11c. How often is the following true?
At my school students harass or bully other students.",,,,"11d. How often is the following true?
At my school students harass or bully each other based on differences (such as race, color, ethnicity, national origin, citizenship/immigration status, religion, gender, gender identity, gender expression, sexual orientation, disability or weight).",,,,"11e. How often is the following true?
At my school there is gang activity.",,,
,,,,Strongly agree,Agree,Disagree,Strongly disagree,Strongly agree,Agree,Disagree,Strongly disagree,Strongly agree,Agree,Disagree,Strongly disagree,Strongly agree,Agree,Disagree,Strongly disagree,Strongly agree,Agree,Disagree,Strongly disagree,Strongly agree,Agree,Disagree,Strongly disagree,Strongly agree,Agree,Disagree,Strongly disagree,Strongly agree,Agree,Disagree,Strongly disagree,Strongly agree,Agree,Disagree,Strongly disagree,Strongly agree,Agree,Disagree,Strongly disagree,Strongly agree,Agree,Disagree,Strongly disagree,Strongly agree,Agree,Disagree,Strongly disagree,Strongly agree,Agree,Disagree,Strongly disagree,Strongly agree,Agree,Disagree,Strongly disagree,Strongly agree,Agree,Disagree,Strongly disagree,Strongly agree,Agree,Disagree,Strongly disagree,Strongly agree,Agree,Disagree,Strongly disagree,Strongly agree,Agree,Disagree,Strongly disagree,Strongly agree,Agree,Disagree,Strongly disagree,Strongly agree,Agree,Disagree,Strongly disagree,Strongly agree,Agree,Disagree,Strongly disagree,Strongly agree,Agree,Disagree,Strongly disagree,Strongly agree,Agree,Disagree,Strongly disagree,Strongly agree,Agree,Disagree,Strongly disagree,Don’t know,Strongly agree,Agree,Disagree,Strongly disagree,Don’t know,Strongly agree,Agree,Disagree,Strongly disagree,Strongly agree,Agree,Disagree,Strongly disagree,Strongly agree,Agree,Disagree,Strongly disagree,Strongly agree,Agree,Disagree,Strongly disagree,Strongly agree,Agree,Disagree,Strongly disagree,Strongly agree,Agree,Disagree,Strongly disagree,Often,Sometimes,Rarely,We don't do this kind of assignment,Art,Dance,Music,Theater,Physical Education,"Health Education, including Sex Education",Art,Dance,Music,Theater,Physical Education,"Health Education, including Sex Education",Art,Dance,Music,Theater,Physical Education,"Health Education, including Sex Education",Art,Dance,Music,Theater,School sports teams or clubs,Art,Dance,Music,Theater,School sports teams or clubs,Art,Dance,Music,Theater,School sports teams or clubs,None of the time,Some of the time,Most of the time,All of the time,None of the time,Some of the time,Most of the time,All of the time,None of the time,Some of the time,Most of the time,All of the time,None of the time,Some of the time,Most of the time,All of the time,None of the time,Some of the time,Most of the time,All of the time
dbn,locationname,N/A,rr_s,s_q1a_1,s_q1a_2,s_q1a_3,s_q1a_4,s_q1b_1,s_q1b_2,s_q1b_3,s_q1b_4,s_q1c_1,s_q1c_2,s_q1c_3,s_q1c_4,s_q1d_1,s_q1d_2,s_q1d_3,s_q1d_4,s_q1e_1,s_q1e_2,s_q1e_3,s_q1e_4,s_q1f_1,s_q1f_2,s_q1f_3,s_q1f_4,s_q1g_1,s_q1g_2,s_q1g_3,s_q1g_4,s_q2a_1,s_q2a_2,s_q2a_3,s_q2a_4,s_q2b_1,s_q2b_2,s_q2b_3,s_q2b_4,s_q2c_1,s_q2c_2,s_q2c_3,s_q2c_4,s_q2d_1,s_q2d_2,s_q2d_3,s_q2d_4,s_q3_1,s_q3_2,s_q3_3,s_q3_4,s_q4a_1,s_q4a_2,s_q4a_3,s_q4a_4,s_q4b_1,s_q4b_2,s_q4b_3,s_q4b_4,s_q4c_1,s_q4c_2,s_q4c_3,s_q4c_4,s_q4d_1,s_q4d_2,s_q4d_3,s_q4d_4,s_q4e_1,s_q4e_2,s_q4e_3,s_q4e_4,s_q4f_1,s_q4f_2,s_q4f_3,s_q4f_4,s_q4g_1,s_q4g_2,s_q4g_3,s_q4g_4,s_q4h_1,s_q4h_2,s_q4h_3,s_q4h_4,s_q4i_1,s_q4i_2,s_q4i_3,s_q4i_4,s_q4j_1,s_q4j_2,s_q4j_3,s_q4j_4,s_q4k_1,s_q4k_2,s_q4k_3,s_q4k_4,s_q5a_1,s_q5a_2,s_q5a_3,s_q5a_4,s_q5a_5,s_q5b_1,s_q5b_2,s_q5b_3,s_q5b_4,s_q5b_5,s_q6a_1,s_q6a_2,s_q6a_3,s_q6a_4,s_q6b_1,s_q6b_2,s_q6b_3,s_q6b_4,s_q6c_1,s_q6c_2,s_q6c_3,s_q6c_4,s_q7a_1,s_q7a_2,s_q7a_3,s_q7a_4,s_q7b_1,s_q7b_2,s_q7b_3,s_q7b_4,s_q7c_1,s_q7c_2,s_q7c_3,s_q7c_4,s_q8f_1,s_q8f_2,s_q8f_3,s_q8f_4,s_q9a_1_1,s_q9a_2_1,s_q9a_3_1,s_q9a_4_1,s_q9a_5_1,s_q9a_6_1,s_q9b_1_1,s_q9b_2_1,s_q9b_3_1,s_q9b_4_1,s_q9b_5_1,s_q9b_6_1,s_q9c_1_1,s_q9c_2_1,s_q9c_3_1,s_q9c_4_1,s_q9c_5_1,s_q9c_6_1,s_q10a_1_1,s_q10a_2_1,s_q10a_3_1,s_q10a_4_1,s_q10a_5_1,s_q10b_1_1,s_q10b_2_1,s_q10b_3_1,s_q10b_4_1,s_q10b_5_1,s_q10c_1_1,s_q10c_2_1,s_q10c_3_1,s_q10c_4_1,s_q10c_5_1,s_q11a_1,s_q11a_2,s_q11a_3,s_q11a_4,s_q11b_1,s_q11b_2,s_q11b_3,s_q11b_4,s_q11c_1,s_q11c_2,s_q11c_3,s_q11c_4,s_q11d_1,s_q11d_2,s_q11d_3,s_q11d_4,s_q11e_1,s_q11e_2,s_q11e_3,s_q11e_4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01M015,P.S. 015 Roberto Clemente,ES,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
01M019,P.S. 019 Asher Levy,ES,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
01M020,P.S. 020 Anna Silver,ES,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
01M034,P.S. 034 Franklin D. Roosevelt,ES/MS,94%,59%,37%,3%,1%,50%,47%,1%,1%,38%,52%,8%,2%,46%,42%,10%,3%,46%,47%,5%,2%,19%,47%,22%,12%,60%,31%,3%,5%,45%,39%,14%,3%,32%,54%,11%,2%,50%,41%,6%,3%,37%,47%,11%,5%,N/A,N/A,N/A,N/A,76%,23%,1%,1%,41%,55%,3%,1%,65%,33%,1%,1%,75%,25%,0%,0%,26%,57%,10%,7%,39%,46%,7%,8%,36%,40%,15%,10%,28%,48%,14%,10%,44%,44%,4%,8%,50%,32%,8%,10%,36%,46%,11%,6%,34%,26%,6%,1%,34%,24%,35%,17%,7%,16%,16%,38%,29%,17%,17%,40%,27%,16%,23%,51%,19%,8%,25%,45%,18%,12%,27%,41%,22%,10%,24%,46%,22%,8%,27%,41%,22%,10%,34%,35%,59%,20%,55%,20%,36%,32%,24%,24%,9%,15%,22%,24%,11%,44%,15%,53%,24%,22%,27%,3%,34%,28%,34%,32%,31%,28%,36%,36%,26%,49%,34%,73%,19%,3%,5%,8%,60%,21%,11%,23%,42%,17%,18%,40%,43%,6%,12%,71%,17%,5%,7%
01M063,The STAR Academy – P.S.63,ES,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
01M064,P.S. 064 Robert Simon,ES,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
01M110,P.S. 110 Florence Nightingale,ES,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
