BORO,the_geom,TYPE,OBJECTID,PROVIDER,NAME,LAT,LOCATION,LON,X,Y,LOCATION_T,REMARKS,CITY,SSID,SOURCEID,ACTIVATED,BOROCODE,BORONAME,NTACODE,NTANAME,COUNDIST,POSTCODE,BOROCD,CT2010,BOROCT2010,BIN,BBL,DOITT_ID,NAME,define var,,,BUENA,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""",,,,,,,,,,,,,,,,,,,,,,,,,,,
QU,POINT (-73.94458300007643 40.755726999970044),Free,8641,Spot On Networks,QUEENS BRIDGE - JACOB A. RIIS Settlement House,40.75573,10-25 41 AVENUE,-73.94458,999603.2262,214613.2746,Indoor AP - Community Center - Computer Rm,Free - Up to 25 mbs Wi-Fi Service,Queens,Quensbridge Connected,NYC HOUSING AUTHORITY,05/01/2018 12:00:00 AM +0000,4,Queens,QN68,Queensbridge-Ravenswood-Long Island City,26,11101,401,25,4002500,4433386,4004700100,4746,QU8641,"var QU8641 = { info: '<strong>Free - Up to 25 mbs Wi-Fi Service located at Indoor AP - Community Center - Computer Rm</strong><br>\""10-25 41 AVENUE""<br>\<a href=https://www.google.com/maps/search/10-25-41-AVENUE+11101----"">Take me there!</a>', lat: 40.755727, long: -73.944583};","[QU8641.info, QU8641.lat, QU8641.long, 0],",0,https://www.google.com/maps/search/10-25-41-AVENUE+11101----,https://www.google.com/maps/search/10-25 41 AVENUE+11101,,,,,,,,https://www.google.com/maps/search/10-25,41,AVENUE+11101,,,,,1,Take me there!,,,,,,,
QU,POINT (-73.94413100020707 40.755332999617764),Free,8642,Spot On Networks,QUEENS BRIDGE - JACOB A. RIIS Settlement House,40.75533,10-43 41 AVENUE,-73.94413,999728.5438,214469.807,Indoor AP - Queens Public Library,Free - Up to 25 mbs Wi-Fi Service,Queens,Quensbridge Connected,NYC HOUSING AUTHORITY,05/01/2018 12:00:00 AM +0000,4,Queens,QN68,Queensbridge-Ravenswood-Long Island City,26,11101,401,25,4002500,4433386,4004700100,4747,QU8642,"var QU8642 = { info: '<strong>Free - Up to 25 mbs Wi-Fi Service located at Indoor AP - Queens Public Library</strong><br>\""10-43 41 AVENUE""<br>\<a href=https://www.google.com/maps/search/10-43-41-AVENUE+11101----"">Take me there!</a>', lat: 40.755333, long: -73.944131};","[QU8642.info, QU8642.lat, QU8642.long, 1],",1,https://www.google.com/maps/search/10-43-41-AVENUE+11101----,https://www.google.com/maps/search/10-43 41 AVENUE+11101,,,,,,,,https://www.google.com/maps/search/10-43,41,AVENUE+11101,,,,,1,Take me there!,,,,,,,
QU,POINT (-73.94516599972107 40.75575100007361),Free,8643,Spot On Networks,QUEENS BRIDGE - JACOB A. RIIS Settlement House,40.75575,10-05 41 AVENUE,-73.94517,999441.7012,214621.9169,Indoor AP - North Management Office,Free - Up to 25 mbs Wi-Fi Service,Queens,Quensbridge Connected,NYC HOUSING AUTHORITY,05/01/2018 12:00:00 AM +0000,4,Queens,QN68,Queensbridge-Ravenswood-Long Island City,26,11101,401,25,4002500,4433386,4004700100,4748,QU8643,"var QU8643 = { info: '<strong>Free - Up to 25 mbs Wi-Fi Service located at Indoor AP - North Management Office</strong><br>\""10-05 41 AVENUE""<br>\<a href=https://www.google.com/maps/search/10-05-41-AVENUE+11101----"">Take me there!</a>', lat: 40.755751, long: -73.945166};","[QU8643.info, QU8643.lat, QU8643.long, 2],",2,https://www.google.com/maps/search/10-05-41-AVENUE+11101----,https://www.google.com/maps/search/10-05 41 AVENUE+11101,,,,,,,,https://www.google.com/maps/search/10-05,41,AVENUE+11101,,,,,1,Take me there!,,,,,,,
QU,POINT (-73.94516599972107 40.75575100007361),Free,8644,Spot On Networks,QUEENS BRIDGE - JACOB A. RIIS Settlement House,40.75575,10-05 41 AVENUE,-73.94517,999441.7012,214621.9169,Indoor AP - North Management Office,Free - Up to 25 mbs Wi-Fi Service,Queens,Quensbridge Connected,NYC HOUSING AUTHORITY,05/01/2018 12:00:00 AM +0000,4,Queens,QN68,Queensbridge-Ravenswood-Long Island City,26,11101,401,25,4002500,4433386,4004700100,4749,QU8644,"var QU8644 = { info: '<strong>Free - Up to 25 mbs Wi-Fi Service located at Indoor AP - North Management Office</strong><br>\""10-05 41 AVENUE""<br>\<a href=https://www.google.com/maps/search/10-05-41-AVENUE+11101----"">Take me there!</a>', lat: 40.755751, long: -73.945166};","[QU8644.info, QU8644.lat, QU8644.long, 3],",3,https://www.google.com/maps/search/10-05-41-AVENUE+11101----,https://www.google.com/maps/search/10-05 41 AVENUE+11101,,,,,,,,https://www.google.com/maps/search/10-05,41,AVENUE+11101,,,,,1,Take me there!,,,,,,,
QU,POINT (-73.94516599972107 40.75575100007361),Free,8645,Spot On Networks,QUEENS BRIDGE - JACOB A. RIIS Settlement House,40.75575,10-05 41 AVENUE,-73.94517,999441.7012,214621.9169,Indoor AP - North Maintenance Area,Free - Up to 25 mbs Wi-Fi Service,Queens,Quensbridge Connected,NYC HOUSING AUTHORITY,05/01/2018 12:00:00 AM +0000,4,Queens,QN68,Queensbridge-Ravenswood-Long Island City,26,11101,401,25,4002500,4433386,4004700100,4750,QU8645,"var QU8645 = { info: '<strong>Free - Up to 25 mbs Wi-Fi Service located at Indoor AP - North Maintenance Area</strong><br>\""10-05 41 AVENUE""<br>\<a href=https://www.google.com/maps/search/10-05-41-AVENUE+11101----"">Take me there!</a>', lat: 40.755751, long: -73.945166};","[QU8645.info, QU8645.lat, QU8645.long, 4],",4,https://www.google.com/maps/search/10-05-41-AVENUE+11101----,https://www.google.com/maps/search/10-05 41 AVENUE+11101,,,,,,,,https://www.google.com/maps/search/10-05,41,AVENUE+11101,,,,,1,Take me there!,,,,,,,
QU,POINT (-73.94516599972107 40.75575100007361),Free,8646,Spot On Networks,QUEENS BRIDGE - JACOB A. RIIS Settlement House,40.75575,10-05 41 AVENUE,-73.94517,999441.7012,214621.9169,Indoor AP - North Maintenance Area,Free - Up to 25 mbs Wi-Fi Service,Queens,Quensbridge Connected,NYC HOUSING AUTHORITY,05/01/2018 12:00:00 AM +0000,4,Queens,QN68,Queensbridge-Ravenswood-Long Island City,26,11101,401,25,4002500,4433386,4004700100,4751,QU8646,"var QU8646 = { info: '<strong>Free - Up to 25 mbs Wi-Fi Service located at Indoor AP - North Maintenance Area</strong><br>\""10-05 41 AVENUE""<br>\<a href=https://www.google.com/maps/search/10-05-41-AVENUE+11101----"">Take me there!</a>', lat: 40.755751, long: -73.945166};","[QU8646.info, QU8646.lat, QU8646.long, 5],",5,https://www.google.com/maps/search/10-05-41-AVENUE+11101----,https://www.google.com/maps/search/10-05 41 AVENUE+11101,,,,,,,,https://www.google.com/maps/search/10-05,41,AVENUE+11101,,,,,1,Take me there!,,,,,,,
QU,POINT (-73.94516599972107 40.75575100007361),Free,8647,Spot On Networks,QUEENS BRIDGE - JACOB A. RIIS Settlement House,40.75575,10-05 41 AVENUE,-73.94517,999441.7012,214621.9169,Indoor AP - North Maintenance Area,Free - Up to 25 mbs Wi-Fi Service,Queens,Quensbridge Connected,NYC HOUSING AUTHORITY,05/01/2018 12:00:00 AM +0000,4,Queens,QN68,Queensbridge-Ravenswood-Long Island City,26,11101,401,25,4002500,4433386,4004700100,4752,QU8647,"var QU8647 = { info: '<strong>Free - Up to 25 mbs Wi-Fi Service located at Indoor AP - North Maintenance Area</strong><br>\""10-05 41 AVENUE""<br>\<a href=https://www.google.com/maps/search/10-05-41-AVENUE+11101----"">Take me there!</a>', lat: 40.755751, long: -73.945166};","[QU8647.info, QU8647.lat, QU8647.long, 6],",6,https://www.google.com/maps/search/10-05-41-AVENUE+11101----,https://www.google.com/maps/search/10-05 41 AVENUE+11101,,,,,,,,https://www.google.com/maps/search/10-05,41,AVENUE+11101,,,,,1,Take me there!,,,,,,,
QU,POINT (-73.94563299985178 40.755289999656554),Free,8648,Spot On Networks,QUEENS BRIDGE - JACOB A. RIIS Settlement House,40.75529,10-06 41 AVENUE,-73.94563,999312.4236,214453.8789,Indoor AP - South Management Office,Free - Up to 25 mbs Wi-Fi Service,Queens,Quensbridge Connected,NYC HOUSING AUTHORITY,05/01/2018 12:00:00 AM +0000,4,Queens,QN68,Queensbridge-Ravenswood-Long Island City,26,11101,401,25,4002500,4433386,4004700100,4753,QU8648,"var QU8648 = { info: '<strong>Free - Up to 25 mbs Wi-Fi Service located at Indoor AP - South Management Office</strong><br>\""10-06 41 AVENUE""<br>\<a href=https://www.google.com/maps/search/10-06-41-AVENUE+11101----"">Take me there!</a>', lat: 40.75529, long: -73.945633};","[QU8648.info, QU8648.lat, QU8648.long, 7],",7,https://www.google.com/maps/search/10-06-41-AVENUE+11101----,https://www.google.com/maps/search/10-06 41 AVENUE+11101,,,,,,,,https://www.google.com/maps/search/10-06,41,AVENUE+11101,,,,,1,Take me there!,,,,,,,
QU,POINT (-73.94563299985178 40.755289999656554),Free,8649,Spot On Networks,QUEENS BRIDGE - JACOB A. RIIS Settlement House,40.75529,10-06 41 AVENUE,-73.94563,999312.4236,214453.8789,Indoor AP - South Management Office,Free - Up to 25 mbs Wi-Fi Service,Queens,Quensbridge Connected,NYC HOUSING AUTHORITY,05/01/2018 12:00:00 AM +0000,4,Queens,QN68,Queensbridge-Ravenswood-Long Island City,26,11101,401,25,4002500,4433386,4004700100,4754,QU8649,"var QU8649 = { info: '<strong>Free - Up to 25 mbs Wi-Fi Service located at Indoor AP - South Management Office</strong><br>\""10-06 41 AVENUE""<br>\<a href=https://www.google.com/maps/search/10-06-41-AVENUE+11101----"">Take me there!</a>', lat: 40.75529, long: -73.945633};","[QU8649.info, QU8649.lat, QU8649.long, 8],",8,https://www.google.com/maps/search/10-06-41-AVENUE+11101----,https://www.google.com/maps/search/10-06 41 AVENUE+11101,,,,,,,,https://www.google.com/maps/search/10-06,41,AVENUE+11101,,,,,1,Take me there!,,,,,,,
QU,POINT (-73.94765700031446 40.75563599999595),Free,8650,Spot On Networks,QUEENS BRIDGE - JACOB A. RIIS Settlement House,40.75564,41-15 VERNON BLVD,-73.94766,998751.5973,214579.5965,Indoor AP - South Maintenance Area,Free - Up to 25 mbs Wi-Fi Service,Queens,Quensbridge Connected,NYC HOUSING AUTHORITY,05/01/2018 12:00:00 AM +0000,4,Queens,QN68,Queensbridge-Ravenswood-Long Island City,26,11101,401,25,4002500,4433410,4004650000,4755,QU8650,"var QU8650 = { info: '<strong>Free - Up to 25 mbs Wi-Fi Service located at Indoor AP - South Maintenance Area</strong><br>\""41-15 VERNON BLVD""<br>\<a href=https://www.google.com/maps/search/41-15-VERNON-BLVD+11101----"">Take me there!</a>', lat: 40.755636, long: -73.947657};","[QU8650.info, QU8650.lat, QU8650.long, 9],",9,https://www.google.com/maps/search/41-15-VERNON-BLVD+11101----,https://www.google.com/maps/search/41-15 VERNON BLVD+11101,,,,,,,,https://www.google.com/maps/search/41-15,VERNON,BLVD+11101,,,,,1,Take me there!,,,,,,,
